transaction_id,customer_id,merchant_id,transaction_amount,transaction_currency,transaction_date,payment_method,product_category,product_name,status,region,timestamp,ip_address,device_type
TXN-1000000,112932,MERCH-879234,38450.13,USD,2026-07-28,Bank Transfer,Electronics,Bluetooth Speaker,Pending,Latin America,2026-07-28 17:21:21,219.14.41.35,Desktop
TXN-1000001,949911,MERCH-457468,12265.72,USD,2026-02-21,Cash,Food,Olive Oil,Completed,Asia-Pacific,2026-02-21 02:00:20,188.115.27.232,Mobile
TXN-1000002,305977,MERCH-955410,6321.22,INR,2026-07-14,Cash,Electronics,Gaming Mouse,Completed,Asia-Pacific,2026-07-14 08:30:53,10.197.79.88,Tablet
TXN-1000003,13158,MERCH-417582,41065.39,AUD,2026-06-28,Cash,Beauty,Skin Cleanser,Pending,Asia-Pacific,2026-06-28 21:34:40,204.171.153.228,Desktop
TXN-1000004,761086,MERCH-860031,25508.21,USD,2026-05-16,Bank Transfer,Food,Olive Oil,Failed,India,2026-05-16 08:10:21,87.142.101.227,Mobile
TXN-1000005,17101,MERCH-198245,28662.69,CAD,2026-05-12,Credit Card,Sports,Football,Pending,India,,91.59.104.137,Tablet
TXN-1000006,660594,MERCH-755284,-4820.66,EUR,2026-03-09,Cash,Sports,Yoga Mat,Refunded,Asia-Pacific,2026-03-09 05:09:34,114.97.193.119,Mobile
TXN-1000007,837696,MERCH-369148,9666.92,AUD,2026-04-25,Wallet,Electronics,Wireless Headphones,Pending,Asia-Pacific,2026-04-25 20:26:00,28.159.17.131,Desktop
TXN-1000008,834389,MERCH-561828,21665.68,INR,2026-07-29,Credit Card,Sports,Yoga Mat,Completed,Latin America,2026-07-29 22:40:25,8.253.83.68,Desktop
TXN-1000009,670175,MERCH-666982,20709.44,EUR,2026-05-26,Bank Transfer,Electronics,Gaming Mouse,Completed,US-East,2026-05-26 22:55:43,37.96.172.61,Tablet
TXN-1000010,153239,MERCH-958107,-2692.31,AUD,2026-08-05,Wallet,Electronics,Gaming Mouse,Refunded,Asia-Pacific,2026-08-05 11:08:34,250.87.133.31,Tablet
TXN-1000011,476831,MERCH-700917,3112.17,USD,2026-05-01,Wallet,Books,ML Handbook,Failed,Asia-Pacific,2026-05-01 23:47:46,251.183.172.116,Desktop
TXN-1000012,360261,MERCH-524416,26084.32,USD,2026-07-10,Cash,Home,Coffee Maker,Failed,India,2026-07-10 11:14:57,146.88.24.70,Tablet
TXN-1000013,983840,MERCH-524861,13234.78,USD,2026-05-29,Debit Card,Books,Python Programming,Completed,Latin America,2026-05-29 06:48:57,229.5.50.69,Tablet
TXN-1000014,581472,MERCH-563800,15858.24,EUR,2026-03-19,Cash,Books,Python Programming,Pending,US-West,2026-03-19 15:31:46,102.199.8.66,Tablet
TXN-1000015,881161,MERCH-525606,19796.71,EUR,2026-05-24,Cash,Beauty,Skin Cleanser,Failed,India,2026-05-24 00:57:50,203.154.156.249,Desktop
TXN-1000016,701443,MERCH-897372,-1815.59,INR,2026-02-24,Wallet,Clothing,Winter Jacket,Refunded,Europe,2026-02-24 06:49:28,88.208.193.50,Mobile
TXN-1000017,869645,MERCH-969332,18773.0,EUR,2026-05-05,Cash,Home,Coffee Maker,Pending,Asia-Pacific,2026-05-05 11:04:58,76.32.233.68,Tablet
TXN-1000018,614433,MERCH-407285,47211.61,GBP,2026-08-05,Credit Card,Beauty,,Completed,Asia-Pacific,2026-08-05 18:48:45,84.63.166.115,Desktop
TXN-1000019,994877,MERCH-724008,28580.34,INR,2026-03-28,Cash,Beauty,Skin Cleanser,Failed,Latin America,2026-03-28 08:21:03,47.32.6.110,Tablet
TXN-1000020,148428,MERCH-341669,-4990.69,GBP,2026-04-19,Debit Card,Home,Coffee Maker,Refunded,Latin America,2026-04-19 01:29:32,231.233.228.154,Desktop
TXN-1000021,721410,MERCH-930847,36494.92,USD,2026-05-29,Wallet,Sports,Yoga Mat,Failed,Europe,2026-05-29 05:26:22,109.12.156.4,Desktop
TXN-1000022,800962,MERCH-772405,2340.59,CAD,2026-06-30,Debit Card,Sports,Yoga Mat,Failed,Europe,2026-06-30 15:55:56,120.58.73.136,Mobile
TXN-1000023,846594,MERCH-204785,27252.62,CAD,2026-03-16,Credit Card,Electronics,Bluetooth Speaker,Pending,India,2026-03-16 12:26:51,203.115.29.16,Tablet
TXN-1000024,974768,MERCH-221910,-681.46,EUR,2026-04-09,Credit Card,Home,Desk Lamp,Refunded,US-West,2026-04-09 06:04:25,238.7.3.106,Tablet
TXN-1000025,766268,MERCH-929833,46234.36,INR,2026-08-09,Wallet,Clothing,Winter Jacket,Failed,US-West,2026-08-09 09:07:18,172.165.211.84,Mobile
TXN-1000026,232836,MERCH-535353,-1132.42,AUD,2026-05-19,Bank Transfer,Food,Protein Bars,Refunded,Asia-Pacific,2026-05-19 17:12:24,20.252.232.128,Mobile
TXN-1000027,132099,MERCH-127930,36563.73,INR,2026-04-20,Wallet,Clothing,Winter Jacket,Completed,Latin America,2026-04-20 19:01:28,134.91.74.93,Mobile
TXN-1000028,621621,MERCH-696710,25430.92,GBP,2026-13-15,Credit Card,Home,Coffee Maker,Completed,India,2026-07-23 06:24:11,108.33.225.122,Mobile
TXN-1000029,347106,MERCH-033859,39443.8,USD,2026-07-09,Debit Card,Beauty,Face Serum,Completed,US-West,2026-07-09 14:27:59,52.170.104.16,Mobile
TXN-1000030,700816,MERCH-043178,34787.88,GBP,2026-04-23,Bank Transfer,Books,Python Programming,Failed,US-West,2026-04-23 07:15:50,111.88.172.37,Mobile
TXN-1000031,240022,MERCH-854224,-1734.32,USD,2026-06-06,Credit Card,Sports,Yoga Mat,Refunded,Latin America,2026-06-06 02:07:59,64.74.61.33,Tablet
TXN-1000032,960666,MERCH-441316,44734.05,CAD,2026-03-18,Wallet,,Face Serum,Pending,Europe,2026-03-18 20:08:54,107.225.9.155,Desktop
TXN-1000033,530960,MERCH-795713,42084.05,USD,2026-02-24,Wallet,Clothing,Running Shoes,Pending,US-East,2026-02-24 12:46:11,157.84.114.221,Mobile
TXN-1000034,200991,MERCH-215317,31748.93,AUD,2026-05-09,Wallet,Sports,Yoga Mat,Completed,Asia-Pacific,2026-05-09 15:18:41,228.142.252.140,Mobile
TXN-1000035,817994,MERCH-202034,36438.75,GBP,2026-06-14,Debit Card,Home,Coffee Maker,Failed,US-East,2026-06-14 04:45:38,26.70.32.229,Mobile
TXN-1000036,430701,MERCH-097272,18063.97,CAD,2026-06-15,Wallet,Clothing,Winter Jacket,,Latin America,2026-06-15 17:55:07,171.137.31.250,Desktop
TXN-1000037,98115,MERCH-879552,47837.75,USD,2026-04-29,Cash,Clothing,Running Shoes,Completed,US-East,2026-04-29 14:53:24,210.238.227.230,Desktop
TXN-1000038,960248,MERCH-004480,-1056.18,INR,2026-07-17,Debit Card,Sports,Yoga Mat,Refunded,US-East,2026-07-17 05:34:17,108.44.200.227,Desktop
TXN-1000039,829669,MERCH-596595,43686.62,INR,2026-08-03,Wallet,Beauty,Skin Cleanser,Completed,Latin America,2026-08-03 01:40:43,140.183.49.225,Desktop
TXN-1000040,298724,MERCH-922980,33282.46,EUR,2026-08-14,Bank Transfer,Clothing,,Pending,US-West,2026-08-14 15:02:27,17.222.205.205,Mobile
TXN-1000041,470786,MERCH-606381,11126.61,EUR,2026-04-01,Bank Transfer,Books,Python Programming,Completed,Latin America,2026-04-01 22:52:55,112.183.137.241,Desktop
TXN-1000042,735374,123456,21971.52,EUR,2026-07-28,Credit Card,Electronics,Wireless Headphones,Pending,US-West,2026-07-28 20:33:06,251.183.13.215,Desktop
TXN-1000043,674153,MERCH-689808,19222.99,INR,2026-03-15,Bank Transfer,Beauty,Skin Cleanser,Failed,India,2026-03-15 21:06:05,12.56.39.169,Tablet
TXN-1000044,297452,MERCH-430937,25510.23,EUR,2026-05-18,Cash,Books,ML Handbook,Pending,Latin America,2026-05-18 21:59:35,24.254.219.237,Mobile
TXN-1000045,476103,MERCH-954574,37946.99,AUD,2026-04-08,Debit Card,Food,Protein Bars,Completed,India,2026-04-08 17:30:01,96.76.207.193,Desktop
TXN-1000046,208334,MERCH-177400,38182.06,USD,2026-04-04,Wallet,Clothing,Running Shoes,Pending,US-East,2026-04-04 18:06:31,206.96.194.108,Tablet
TXN-1000047,601692,MERCH-402332,30906.15,EUR,2026-03-04,Cash,Books,Python Programming,Failed,India,2026-03-04 22:06:48,240.125.239.135,Mobile
TXN-1000048,941694,MERCH-800513,-3929.26,AUD,2026-05-26,Wallet,Sports,Football,Refunded,Europe,2026-05-26 21:30:11,61.27.187.183,Mobile
TXN-1000049,154320,MERCH-846449,46665.39,AUD,2026-05-17,Debit Card,Sports,Yoga Mat,Failed,India,2026-05-17 21:25:47,208.46.198.143,Mobile
TXN-1000050,493457,MERCH-163333,25011.67,GBP,2026-04-17,Wallet,Food,Protein Bars,Completed,India,2026-04-17 16:40:28,58.18.110.192,Desktop
TXN-1000051,343214,MERCH-464949,-3489.1,INR,2026-08-07,Credit Card,Home,Desk Lamp,Refunded,US-East,2026-08-07 01:45:22,94.83.200.62,Tablet
TXN-1000052,34248,MERCH-193623,34762.44,EUR,2026-03-22,Bank Transfer,Food,Olive Oil,Failed,US-West,2026-03-22 21:53:30,110.164.215.4,Desktop
TXN-1000053,570838,MERCH-325855,47724.61,AUD,2026-06-12,Credit Card,Sports,Yoga Mat,Pending,Europe,2026-06-12 06:50:03,31.143.33.251,Tablet
TXN-1000054,67229,MERCH-837360,-3524.33,EUR,2026-04-17,Debit Card,Electronics,Gaming Mouse,Refunded,Europe,2026-04-17 07:21:44,107.189.126.30,Desktop
TXN-1000055,205477,MERCH-269651,46912.17,USD,2026-04-11,Credit Card,Electronics,Bluetooth Speaker,Completed,Europe,2026-04-11 05:12:05,222.17.109.210,Tablet
TXN-1000056,434753,MERCH-054052,47476.81,USD,2026-04-30,Wallet,Sports,Football,Completed,Latin America,2026-04-30 12:24:53,217.188.86.95,Desktop
TXN-1000057,465980,MERCH-410869,9279.61,CAD,2026-03-17,Wallet,Electronics,Bluetooth Speaker,Completed,US-East,2026-03-17 06:51:18,81.180.74.39,Desktop
TXN-1000000,645539,MERCH-493783,11327.28,EUR,2026-05-19,Debit Card,Food,Olive Oil,Completed,Europe,2026-05-19 07:44:30,143.57.218.80,Mobile
TXN-1000059,485745,MERCH-846718,-3135.95,GBP,2026-04-18,Bank Transfer,Books,ML Handbook,Refunded,India,2026-04-18 09:05:41,101.222.120.252,Mobile
